Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_257.jpg;-15;1;0;2.396164;102.6625;89.1061;359.9079;37.84414;358.7913
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_308.jpg;-15;1;0;2.474906;102.7837;89.18956;359.934;35.82686;358.9747
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_357.jpg;-15;1;0;2.500875;102.8703;89.24265;0.03117632;34.42858;359.0008
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_407.jpg;-15;1;0;2.540186;103.0036;89.31918;0.1466083;32.34518;358.9927
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_458.jpg;-15;1;0;2.565568;103.0947;89.36832;0.2043021;30.93844;358.977
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_508.jpg;-15;1;0;2.601125;103.233;89.43884;0.1896054;28.78111;358.9962
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_555.jpg;-15;1;0;2.632323;103.3275;89.48301;0.1437836;27.34198;358.9926
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_606.jpg;-15;1;0;2.672201;103.4732;89.54514;0.06665517;25.22228;358.9338
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_655.jpg;-15;1;0;2.697005;103.5725;89.5843;0.01087841;23.83233;358.8811
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_705.jpg;-15;1;0;2.733376;103.7258;89.64075;0.01115429;21.78041;358.8377
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_755.jpg;-15;1;0;2.75715;103.8299;89.67626;0.008154339;20.41113;358.8466
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_807.jpg;-15;1;0;2.794902;103.9896;89.72512;0.008845575;18.32993;358.8734
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_855.jpg;-15;1;0;2.820784;104.0984;89.75449;0.01713241;16.92867;358.8834
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_905.jpg;-15;1;0;2.857956;104.2646;89.7937;0.01618291;14.81203;358.879
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_17_955.jpg;-15;1;0;2.882762;104.3773;89.81689;0.01434639;13.40475;358.8765
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_005.jpg;-15;1;0;2.92035;104.5492;89.84698;0.01713284;11.29031;358.8705
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_055.jpg;-15;1;0;2.944649;104.6654;89.86375;0.01009742;9.874481;358.8647
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_105.jpg;-15;1;0;2.981208;104.8425;89.88395;0.01369794;7.745277;358.8565
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_155.jpg;15;1;0;3.00586;104.9613;89.89769;0.000529393;6.815529;358.9332
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_205.jpg;15;1;0;3.014133;105.1393;89.93085;359.9781;8.017654;359.3466
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_255.jpg;15;1;0;3.033662;105.2589;89.95634;-0.001238025;9.345772;359.6811
C:\Users\Erik\RoboND-Python-StarterKit\Roversim_x86_64_Data\IMG\robocam_2018_12_20_17_28_18_305.jpg;15;1;0;3.066232;105.4397;89.99998;0.09754846;11.52914;0.259506
